match_id,date,home_team,away_team,winner
Cor42517trycaBa,27-05-2016,Corsica,Basque Country,Basque Country
Uni42522rusanNo,01-06-2016,United Koreans in Japan,Northern Cyprus,Northern Cyprus
Ira42523niaanPa,02-06-2016,Iraqi Kurdistan,Padania,Padania
Bos42524arknaDe,03-06-2016,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina
Tha42524riandSy,03-06-2016,Thailand,Syria,Thailand
Vie42524ongamHo,03-06-2016,Vietnam,Hong Kong,Vietnam
Ira42524niaanWe,03-06-2016,Iraqi Kurdistan,Western Armenia,Western Armenia
Cha42524tiadsRa,03-06-2016,Chagos Islands,Raetia,Raetia
Uni42525tananIr,04-06-2016,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan
Abk42526jabiaPa,05-06-2016,Abkhazia,Panjab,Abkhazia
Pap42532andeaNe,11-06-2016,Papua New Guinea,New Zealand,New Zealand
Per42538biaruCo,17-06-2016,Peru,Colombia,Colombia
Nam42539anaiaBo,18-06-2016,Namibia,Botswana,Botswana
Sou42539thocaLe,18-06-2016,South Africa,Lesotho,South Africa
Zam42540iniiaEs,19-06-2016,Zambia,Eswatini,Eswatini
Bot42543ngonaDR,22-06-2016,Botswana,DR Congo,Botswana
Swi42546andndPo,25-06-2016,Switzerland,Poland,Poland
Arg42547ilenaCh,26-06-2016,Argentina,Chile,Chile
Pol42551galndPo,30-06-2016,Poland,Portugal,Portugal
Ger42553alynyIt,02-07-2016,Germany,Italy,Germany
Chi42746tialeCr,11-01-2017,Chile,Croatia,Chile
Chi42749tiaPRCr,14-01-2017,China PR,Croatia,China PR
Bur42767yptsoEg,01-02-2017,Burkina Faso,Egypt,Egypt
Ká42895ninjaEl,09-06-2017,Kárpátalja,Ellan Vannin,Kárpátalja
Pad42895ziaiaAb,09-06-2017,Padania,Abkhazia,Padania
Nor42896niausPa,10-06-2017,Northern Cyprus,Padania,Padania
Por42914ilealCh,28-06-2017,Portugal,Chile,Chile
Hit42915lesraWe,29-06-2017,Hitra,Western Isles,Western Isles
Gre42915rcandMe,29-06-2017,Greenland,Menorca,Greenland
Nam42917thoiaLe,01-07-2017,Namibia,Lesotho,Lesotho
Tan42923thoiaLe,07-07-2017,Tanzania,Lesotho,Tanzania
Tha42932rusndBe,16-07-2017,Thailand,Belarus,Thailand
Sou43180olacaAn,21-03-2018,South Africa,Angola,South Africa
Zam43180bweiaZi,21-03-2018,Zambia,Zimbabwe,Zambia
Tha43181bonndGa,22-03-2018,Thailand,Gabon,Thailand
Ang43183bwelaZi,24-03-2018,Angola,Zimbabwe,Angola
Zam43253biaiaNa,02-06-2018,Zambia,Namibia,Zambia
And43254rderaCa,03-06-2018,Andorra,Cape Verde,Cape Verde
Sou43254carcaMa,03-06-2018,South Africa,Madagascar,Madagascar
Zim43254anaweBo,03-06-2018,Zimbabwe,Botswana,Zimbabwe
Mat43256liandKa,05-06-2018,Matabeleland,Kabylia,Kabylia
Les43257bwehoZi,06-06-2018,Lesotho,Zimbabwe,Zimbabwe
Tib43260panetUn,09-06-2018,Tibet,United Koreans in Japan,United Koreans in Japan
Pan43260diaabCa,09-06-2018,Panjab,Cascadia,Panjab
Pad43260andiaSz,09-06-2018,Padania,Székely Land,Padania
Nor43260ljausK�,09-06-2018,Northern Cyprus,Kárpátalja,Kárpátalja
Rus43282ainiaSp,01-07-2018,Russia,Spain,Russia
Cro43282arkiaDe,01-07-2018,Croatia,Denmark,Croatia
Col43284andiaEn,03-07-2018,Colombia,England,England
Rus43288tiaiaCr,07-07-2018,Russia,Croatia,Croatia
Jor43485namanVi,20-01-2019,Jordan,Vietnam,Vietnam
Aus43486taniaUz,21-01-2019,Australia,Uzbekistan,Australia
Oma43547oreanSi,23-03-2019,Oman,Singapore,Oman
Les43617ndahoUg,01-06-2019,Lesotho,Uganda,Lesotho
Sou43618anacaBo,02-06-2019,South Africa,Botswana,Botswana
Zam43618awiiaMa,02-06-2019,Zambia,Malawi,Zambia
Sou43620ndacaUg,04-06-2019,South Africa,Uganda,South Africa
Zim43621biaweZa,05-06-2019,Zimbabwe,Zambia,Zambia
Abk43622niaiaWe,06-06-2019,Abkhazia,Western Armenia,Western Armenia
Sou43622riaiaCh,06-06-2019,South Ossetia,Chameria,South Ossetia
Les43623bwehoZi,07-06-2019,Lesotho,Zimbabwe,Zimbabwe
Sou43623awicaMa,07-06-2019,South Africa,Malawi,South Africa
Abk43624riaiaCh,08-06-2019,Abkhazia,Chameria,Abkhazia
Swi43625andndEn,09-06-2019,Switzerland,England,England
Bra43643uayilPa,27-06-2019,Brazil,Paraguay,Brazil
Col43644ileiaCh,28-06-2019,Colombia,Chile,Chile
Mex43645icacoCo,29-06-2019,Mexico,Costa Rica,Mexico
Uru43645eruayPe,29-06-2019,Uruguay,Peru,Peru
Mor43651nincoBe,05-07-2019,Morocco,Benin,Benin
Mad43653ngoarDR,07-07-2019,Madagascar,DR Congo,Madagascar
Gha43654sianaTu,08-07-2019,Ghana,Tunisia,Tunisia
Ivo43657riastAl,11-07-2019,Ivory Coast,Algeria,Algeria
Tan43716ndiiaBu,08-09-2019,Tanzania,Burundi,Tanzania
Cha43751riaadLi,13-10-2019,Chad,Liberia,Chad
Gam43751utiiaDj,13-10-2019,Gambia,Djibouti,Gambia
Bos44112andnaNo,08-10-2020,Bosnia and Herzegovina,Northern Ireland,Northern Ireland
Slo44112andiaRe,08-10-2020,Slovakia,Republic of Ireland,Slovakia
Sco44112aelndIs,08-10-2020,Scotland,Israel,Scotland
Ser44147andiaSc,12-11-2020,Serbia,Scotland,Scotland
Mex44350icacoCo,03-06-2021,Mexico,Costa Rica,Mexico
Hon44353icaasCo,06-06-2021,Honduras,Costa Rica,Honduras
Fra44375andceSw,28-06-2021,France,Switzerland,Switzerland
Per44379uayruPa,02-07-2021,Peru,Paraguay,Peru
Swi44379ainndSp,02-07-2021,Switzerland,Spain,Spain
Uru44380biaayCo,03-07-2021,Uruguay,Colombia,Colombia
Ita44383ainlySp,06-07-2021,Italy,Spain,Italy
Tri44383anagoFr,06-07-2021,Trinidad and Tobago,French Guiana,Trinidad and Tobago
