team,total_matches,total_opponents,total_scored,total_conceded,reg_result,count_result
Chagos Islands,11,9,16,64,WIN,1
Chagos Islands,11,9,16,64,TIE,1
Chagos Islands,11,9,16,64,LOSS,9
United Koreans in Japan,11,10,11,11,WIN,2
United Koreans in Japan,11,10,11,11,TIE,6
United Koreans in Japan,11,10,11,11,LOSS,3
Kiribati,11,7,7,126,TIE,1
Kiribati,11,7,7,126,LOSS,10
Kárpátalja,10,7,24,12,WIN,5
Kárpátalja,10,7,24,12,TIE,4
Kárpátalja,10,7,24,12,LOSS,1
Arameans Suryoye,10,8,16,12,WIN,5
Arameans Suryoye,10,8,16,12,TIE,2
Arameans Suryoye,10,8,16,12,LOSS,3
County of Nice,9,6,19,13,WIN,6
County of Nice,9,6,19,13,TIE,1
County of Nice,9,6,19,13,LOSS,2
Galicia,9,8,18,13,WIN,4
Galicia,9,8,18,13,TIE,3
Galicia,9,8,18,13,LOSS,2
Corsica,9,9,10,5,WIN,4
Corsica,9,9,10,5,TIE,4
Corsica,9,9,10,5,LOSS,1
Saarland,9,6,10,26,WIN,1
Saarland,9,6,10,26,TIE,2
Saarland,9,6,10,26,LOSS,6
Silesia,8,5,24,17,WIN,3
Silesia,8,5,24,17,TIE,2
Silesia,8,5,24,17,LOSS,3
Felvidék,8,5,8,14,WIN,3
Felvidék,8,5,8,14,TIE,1
Felvidék,8,5,8,14,LOSS,4
Matabeleland,8,7,7,14,WIN,3
Matabeleland,8,7,7,14,TIE,2
Matabeleland,8,7,7,14,LOSS,3
Raetia,8,7,4,36,WIN,1
Raetia,8,7,4,36,TIE,1
Raetia,8,7,4,36,LOSS,6
Yorkshire,7,6,27,11,WIN,5
Yorkshire,7,6,27,11,TIE,1
Yorkshire,7,6,27,11,LOSS,1
Cascadia,7,7,23,14,WIN,4
Cascadia,7,7,23,14,TIE,1
Cascadia,7,7,23,14,LOSS,2
Micronesia,7,6,8,59,WIN,1
Micronesia,7,6,8,59,LOSS,6
Saint Pierre and Miquelon,7,5,2,78,LOSS,7
Darfur,7,7,1,99,LOSS,7
Kabylia,6,6,8,15,WIN,1
Kabylia,6,6,8,15,TIE,2
Kabylia,6,6,8,15,LOSS,3
Gozo,6,4,7,20,WIN,1
Gozo,6,4,7,20,LOSS,5
Vatican City,6,2,2,15,TIE,2
Vatican City,6,2,2,15,LOSS,4
Somaliland,5,5,12,18,WIN,2
Somaliland,5,5,12,18,LOSS,3
Western Sahara,5,4,11,16,WIN,2
Western Sahara,5,4,11,16,LOSS,3
Chameria,5,4,9,4,WIN,2
Chameria,5,4,9,4,TIE,2
Chameria,5,4,9,4,LOSS,1
Crimea,5,4,7,11,WIN,3
Crimea,5,4,7,11,LOSS,2
Canary Islands,4,3,11,3,WIN,3
Canary Islands,4,3,11,3,LOSS,1
Republic of St. Pauli,4,3,10,5,WIN,1
Republic of St. Pauli,4,3,10,5,TIE,1
Republic of St. Pauli,4,3,10,5,LOSS,2
Saint Helena,4,4,4,24,LOSS,4
Two Sicilies,4,4,2,8,WIN,1
Two Sicilies,4,4,2,8,LOSS,3
Sark,4,4,0,70,LOSS,4
Parishes of Jersey,3,2,11,4,WIN,2
Parishes of Jersey,3,2,11,4,LOSS,1
Romani people,3,3,7,8,WIN,1
Romani people,3,3,7,8,LOSS,2
Găgăuzia,3,3,2,9,TIE,1
Găgăuzia,3,3,2,9,LOSS,2
Biafra,3,2,2,1,WIN,2
Biafra,3,2,2,1,LOSS,1
Manchukuo,3,1,0,16,LOSS,3
Palau,2,2,4,21,LOSS,2
Mapuche,2,2,3,2,WIN,1
Mapuche,2,2,3,2,LOSS,1
Maule Sur,2,2,2,0,WIN,2
Central Spain,2,1,2,4,WIN,1
Central Spain,2,1,2,4,LOSS,1
Aymara,2,2,1,4,LOSS,2
Brunei Darussalam,2,2,1,3,WIN,1
Brunei Darussalam,2,2,1,3,LOSS,1
Yoruba Nation,2,2,1,2,TIE,1
Yoruba Nation,2,2,1,2,LOSS,1
Niue,2,2,0,33,LOSS,2
Asturias,1,1,3,1,WIN,1
Surrey,1,1,3,1,WIN,1
Madrid,1,1,1,2,LOSS,1
